Data;TX_DES;SL_MIN;TX_SLC;VAR_IPCA
jan/12;8;622;0,89;0,56
fev/12;7,8;622;0,75;0,45
mar/12;7,7;622;0,82;0,21
abr/12;7,6;622;0,71;0,64
mai/12;7,5;622;0,74;0,36
jun/12;7,4;622;0,64;0,08
jul/12;7,1;622;0,68;0,43
ago/12;7;622;0,69;0,41
set/12;6,8;622;0,54;0,57
out/12;6,9;622;0,61;0,59
nov/12;7,3;622;0,55;0,6
dez/12;7,8;622;0,55;0,79
jan/13;8,1;678;0,6;0,86
fev/13;7,9;678;0,49;0,6
mar/13;7,7;678;0,55;0,47
abr/13;7,5;678;0,61;0,55
mai/13;7,4;678;0,6;0,37
jun/13;7,2;678;0,61;0,26
jul/13;7;678;0,72;0,03
ago/13;6,8;678;0,71;0,24
set/13;6,6;678;0,71;0,35
out/13;6,3;678;0,81;0,57
nov/13;6,5;678;0,72;0,54
dez/13;6,8;678;0,79;0,92
jan/14;7,2;724;0,85;0,55
fev/14;7,2;724;0,79;0,69
mar/14;7,1;724;0,77;0,92
abr/14;6,9;724;0,82;0,67
mai/14;7;724;0,87;0,46
jun/14;7;724;0,82;0,4
jul/14;6,9;724;0,95;0,01
ago/14;6,7;724;0,87;0,25
set/14;6,6;724;0,91;0,57
out/14;6,6;724;0,95;0,42
nov/14;6,9;724;0,84;0,51
dez/14;7,5;724;0,96;0,78
jan/15;8;788;0,94;1,24
fev/15;8,1;788;0,82;1,22
mar/15;8,3;788;1,04;1,32
abr/15;8,4;788;0,95;0,71
mai/15;8,7;788;0,99;0,74
jun/15;8,9;788;1,07;0,79
jul/15;9;788;1,18;0,62
ago/15;9,1;788;1,11;0,22
set/15;9,1;788;1,11;0,54
out/15;9,1;788;1,11;0,82
nov/15;9,6;788;1,06;1,01
dez/15;10,3;788;1,16;0,96
jan/16;11,1;880;1,06;1,27
fev/16;11,3;880;1;0,9
mar/16;11,3;880;1,16;0,43
abr/16;11,4;880;1,06;0,61
mai/16;11,7;880;1,11;0,78
jun/16;11,9;880;1,16;0,35
jul/16;11,9;880;1,11;0,52
ago/16;11,9;880;1,22;0,44
set/16;12;880;1,11;0,08
out/16;12,2;880;1,05;0,26
nov/16;12,7;880;1,04;0,18
dez/16;13,3;880;1,12;0,3
jan/17;13,9;937;1,09;0,38
fev/17;13,7;937;0,87;0,33
mar/17;13,4;937;1,05;0,25
abr/17;13,1;937;0,79;0,14
mai/17;12,9;937;0,93;0,31
jun/17;12,7;937;0,81;-0,23
jul/17;12,5;937;0,8;0,24
ago/17;12,3;937;0,8;0,19
set/17;12,1;937;0,64;0,16
out/17;11,9;937;0,64;0,42
nov/17;12,3;937;0,57;0,28
dez/17;12,7;937;0,54;0,44
jan/18;13,2;954;0,58;0,29
fev/18;13;954;0,47;0,32
mar/18;12,8;954;0,53;0,09
abr/18;12,6;954;0,52;0,22
mai/18;12,4;954;0,52;0,4
jun/18;12,3;954;0,52;1,26
jul/18;12;954;0,54;0,33
ago/18;11,9;954;0,57;-0,09
set/18;11,7;954;0,47;0,48
out/18;11,7;954;0,54;0,45
nov/18;12,2;954;0,49;-0,21
dez/18;12,6;954;0,49;0,15
jan/19;12,8;998;0,54;0,32
fev/19;12,6;998;0,49;0,43
mar/19;12,4;998;0,47;0,75
abr/19;12,1;998;0,52;0,57
mai/19;12;998;0,54;0,13
jun/19;11,9;998;0,47;0,01
jul/19;11,9;998;0,57;0,19
ago/19;11,8;998;0,5;0,11
set/19;11,3;998;0,46;-0,04
out/19;11,1;998;0,48;0,1
nov/19;11,4;998;0,38;0,51
dez/19;11,8;998;0,37;1,15
jan/20;12,4;1039;0,38;0,21
fev/20;12,7;1045;0,29;0,25
mar/20;13,1;1045;0,34;0,07
abr/20;13,6;1045;0,28;-0,31
mai/20;14,1;1045;0,24;-0,38
jun/20;14,8;1045;0,21;0,26
jul/20;14,9;1045;0,19;0,36
ago/20;14,6;1045;0,16;0,24
set/20;14,4;1045;0,16;0,64
out/20;14,2;1045;0,16;0,86
nov/20;14,5;1045;0,15;0,89
dez/20;14,6;1045;0,16;1,35
jan/21;14,9;1100;0,15;0,25
fev/21;14,8;1100;0,13;0,86
mar/21;14,7;1100;0,2;0,93
abr/21;14,2;1100;0,21;0,31
mai/21;13,7;1100;0,27;0,83
jun/21;13,1;1100;0,31;0,53
jul/21;12,6;1100;0,36;0,96
ago/21;12,1;1100;0,37;0,87
set/21;11,6;1100;0,12;1,16
out/21;11,1;1100;0,21;1,25
nov/21;11,2;1100;0,03;0,95
dez/21;11,2;1100;0,03;0,73
